SpotId,CategoryId
1,2
2,3
3,2
4,5
5,3
6,7
7,4
8,4
9,4
10,7
11,4
12,5
13,5
14,4
15,3
16,4
17,1
18,3
19,8
20,4
21,8
22,6
23,4
24,3
25,5
26,7
27,1
28,1
29,6
30,7
31,7
32,3
33,3
34,4
35,4
36,1
37,12
38,1
39,11
40,1
41,12
42,12
43,11
44,2
45,7
46,1
47,11
48,4
49,14
50,12
51,2
52,2
53,4
54,2
55,13
56,4
57,13
58,14
59,2
60,3
61,8
62,6
63,11
64,11
65,7
66,1
67,1
68,12
69,2
70,2
71,7
72,2
73,8
74,1
75,10
76,14
77,3
78,8
79,1
80,7
81,1
82,1
83,8
84,11
85,10
86,7
87,8
88,14
89,14
90,5
1,3
2,8
3,8
5,1
6,9
8,3
12,8
13,7
17,3
18,6
21,3
22,3
25,8
26,9
27,9
28,3
29,7
30,10
31,15
36,3
37,1
38,3
40,3
41,1
42,3
44,3
45,10
46,3
47,5
49,3
50,3
51,3
52,3
54,3
55,3
57,1
58,9
59,1
60,1
62,12
63,10
64,14
65,10
66,3
67,5
68,1
71,10
73,14
74,5
76,3
77,5
79,3
83,14
86,10
